nutrient_name,unit,deficiency_risk,excess_risk
비타민 A,μg RAE,"주로 눈(야맹증, 건조증 등), 피부(섬피증 등)에 문제 발생 / 심한 경우에는 성장지연이나 사망에 이를 수도 있음",
비타민 D,μg,"소아에서는 구루병, 성인에서는 골연화증 및 골다공증, 노인이나 취약인구에서는 낙상 및 신체 기능 약화의 위험 인자가 되는 등 골격 건강을 악화",
비타민 E,mg α-TE,"운동실조, 골격근증, 색소침착 망막증 등의 건강문제가 나타날 수 있음","크레아틴뇨증, 혈소판 응집감소, 상처 치유 지연, 무월경증, 피로, 복시, 근육 쇠약 등의 증상이 나타날 수 있음"
비타민 K,μg,,
비타민 C,mg,"괴혈병을 비롯하여 빈혈, 감염, 상처 치유 지연, 모세혈관 출혈, 근육퇴화, 신경 장애 등이 발생할 수 있음","심각한 유해 효과는 나타나지 않지만 오심, 구토, 복부팽만, 삼투성 설사 등 위장관 장애 증상을 보일 수 있음"
티아민,mg,"모든 세포 에너지 공급에 영향을 미치며, 신경전달 합성을 저하시켜 신경전달 및 조절 장애를 유발할 수 있음",
리보플라빈,mg,"결핍증은 매우 광범위하며, 구각염, 구순염, 설염 및 빈혈, 지루성 피부염이 대표적임",
비타민 B6,mg,"피부염, 구내염, 구순염, 간질성 혼수, 설염, 우울증, 뇌파계 이상 등의 증상이 나타날 수 있음",
엽산,μg DFE,"혈청 엽산 농도가 감소함에 따라 결과적으로 거대적아구성 빈혈이 유발될 수 있고, 산소운반 능력이 떨어져 허약감, 피로, 불안정, 가슴의 두근거림 등의 증세가 수반됨
임신 초기에 엽산 부족 시 태아의 신경관 형성에 영향을 주어 신경관결손증의 기형아 출산 확률이 높다는 것이 밝혀져 있음",
비타민 B12,μg,"빈혈, 위장질환, 식욕저하, 무력감, 신경계 질환 등이 나타나는 것으로 알려져 있으며, 최근에는 노인의 인지기능 저하, 우울감, 기분의 변화, 퇴행성 신경질환 등과의 관련성도 보고됨",
판토텐산,mg,,
비오틴,μg,"건강한 사람들
에서 결핍증에 대한 보고는 거의 이루어지지 않았으나, 임상 증상으로는 피부발진, 안면의 지방 분포 이상, 결막염, 설염, 탈모 증세 등이 있음",
